id,text,sentiment
0,"Morrisons book second consecutive quarter of sales growth",3
1,"IMI posts drop in first-quarter organic revenue; warns on full year",1
2,"Glencore to refinance its short-term debt early, shares rise",3
3,"EasyJet attracts more passengers in June but still lags Ryanair",3
4,"Barclays 'bad bank' chief to step down",1
5,"Bilfinger Industrial Services win Â£100m BP contract extension",2
6,"Bilfinger Industrial Services win Â£100m BP contract extension",3
7,"Barclays share price subdued as bank faces fresh forex probe",1
8,"Centrica prepared for takeover approach - chairman",2
9,"Jim Armitage: Spare no tears as Glencore's bosses are paying such a small price",1
10,"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder",1
11,"Kingfisher set to open another 200 Screwfix stores",3
12,"Diageo sales disappoint as currency and comparatives leave bitter taste",1
13,"Smith & Nephew recalls hip-replacement components",1
14,"Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers",0
15,"Is Trouble Brewing At Legal & General Group Plc And Aviva plc?",1
16,"Here's my 10-point plan to make Tesco great again",2
17,"Schroders posts FY profit beat, replaces CEO and chairman in board shake-up",2
18,"BP Seeks to Get Back Some Gulf Oil Spill Business Payouts",2
19,"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?",2
20,"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",0
21,"Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger",2
22,"L&G still paying price for dividend cut during crisis, chief says",1
23,"Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger",3
24,"Whitbread eyes savings, price rises to offset wage rises",2
25,"Britain's FTSE lifted by solid Kingfisher",4
26,"Novo Nordisk and AstraZeneca seek tonic from key drug trials",2
27,"Kingfisher takeover of Mr Bricolage could hit a brick wall",1
28,"BP wins right to appeal some Gulf spill damages claims",3
29,"Dixons Carphone profit boost on strong sales",3
30,"UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100",2
